Timestamp,Emotion
2025-11-19 10:40:26,Happy
2025-11-19 10:40:26,Happy
2025-11-19 10:40:27,Happy
2025-11-19 10:40:27,Happy
2025-11-19 10:40:27,Happy
2025-11-19 10:40:27,Happy
2025-11-19 10:40:27,Happy
2025-11-19 10:40:28,Happy
2025-11-19 10:40:28,Happy
2025-11-19 10:40:28,Happy
2025-11-19 10:40:28,Happy
2025-11-19 10:40:28,Neutral
2025-11-19 10:40:29,Neutral
2025-11-19 10:40:29,Neutral
2025-11-19 10:40:29,Happy
2025-11-19 10:40:29,Happy
2025-11-19 10:40:29,Neutral
2025-11-19 10:40:30,Neutral
2025-11-19 10:40:30,Happy
2025-11-19 10:40:30,Neutral
2025-11-19 10:40:30,Neutral
2025-11-19 10:40:30,Neutral
2025-11-19 10:40:31,Neutral
2025-11-19 10:40:31,Neutral
2025-11-19 10:40:31,Neutral
2025-11-19 10:40:31,Neutral
2025-11-19 10:40:31,Neutral
2025-11-19 10:40:32,Neutral
2025-11-19 10:40:32,Neutral
2025-11-19 10:40:32,Neutral
2025-11-19 10:40:32,Neutral
2025-11-19 10:40:32,Neutral
2025-11-19 10:40:33,Neutral
2025-11-19 10:40:33,Neutral
2025-11-19 10:40:33,Neutral
2025-11-19 10:40:33,Happy
2025-11-19 10:40:33,Happy
2025-11-19 10:40:34,Happy
2025-11-19 10:40:35,Happy
2025-11-19 10:40:35,Happy
2025-11-19 10:40:35,Happy
2025-11-19 10:40:35,Happy
2025-11-19 10:40:35,Happy
2025-11-19 10:40:36,Happy
2025-11-19 10:40:36,Happy
2025-11-19 10:40:36,Happy
2025-11-19 10:40:36,Happy
2025-11-19 10:40:36,Happy
2025-11-19 10:40:37,Neutral
2025-11-19 10:40:37,Neutral
2025-11-19 10:40:37,Neutral
2025-11-19 10:40:40,Happy
2025-11-19 10:40:41,Neutral
2025-11-19 10:40:41,Neutral
2025-11-19 10:40:41,Neutral
2025-11-19 10:40:41,Neutral
2025-11-19 10:40:41,Neutral
2025-11-19 10:40:41,Neutral
2025-11-19 10:40:42,Neutral
2025-11-19 10:40:42,Neutral
2025-11-19 10:40:42,Neutral
2025-11-19 10:40:42,Neutral
2025-11-19 10:40:42,Neutral
2025-11-19 10:40:43,Neutral
2025-11-19 10:40:43,Neutral
2025-11-19 10:40:43,Neutral
2025-11-19 10:40:43,Happy
2025-11-19 10:40:43,Happy
2025-11-19 10:40:44,Happy
2025-11-19 10:40:44,Happy
2025-11-19 10:40:44,Happy
2025-11-19 10:40:44,Happy
2025-11-19 10:40:44,Happy
2025-11-19 10:40:45,Happy
2025-11-19 10:40:45,Happy
2025-11-19 10:40:45,Happy
2025-11-19 10:40:45,Neutral
2025-11-19 10:40:45,Happy
2025-11-19 10:40:48,Fear
2025-11-19 10:40:48,Happy
2025-11-19 10:40:48,Happy
2025-11-19 10:40:48,Happy
2025-11-19 10:40:49,Happy
2025-11-19 10:40:49,Happy
2025-11-19 10:40:51,Sad
2025-11-19 10:40:52,Happy
2025-11-19 10:40:52,Happy
2025-11-19 10:40:52,Neutral
2025-11-19 10:40:52,Happy
2025-11-19 10:40:52,Happy
2025-11-19 10:40:53,Neutral
2025-11-19 10:40:53,Neutral
2025-11-19 10:40:54,Sad
2025-11-19 10:40:55,Angry
2025-11-19 10:40:55,Sad
2025-11-19 10:40:55,Happy
